id,firm,date_review,job_title,location,overall_rating,headline,pros,cons
161804,Crowne-Plaza-Hotels-and-Resorts,30/09/2011, ,"Cherry Hill, NJ",3,A lot of potential if a few key players were let go.,A special group of employees that are trustworthy and hardworking.,Senior management is full of control freaks who want things done but don't tell you until you have done something else. A complete lack of communication.
161805,Crowne-Plaza-Hotels-and-Resorts,21/02/2012, ,"Dallas, TX",1,Would not work here,The pay is the best in the market.,"If you are not a tenured member the others do not want you there.  There is a lot of clawing and backbiting by the team members.  It has had tremendous turnover.  The owner is nice, yet he allows his people to have too much control of the atmosphere in the hotel. The front desk team are great."
161806,Crowne-Plaza-Hotels-and-Resorts,26/03/2012, Sales Coordinator,,3,The hotel needed renovations so it was hard to get people in the door,It is a great place to gain experience.,You are affiliated with the Holiday Inn
161807,Crowne-Plaza-Hotels-and-Resorts,09/04/2012, Manager,"Saint Louis, MO",2,The worst personal growth Company ever,Many of the associates and Managers are great.,The General Manager of the Hotel is unfair and unexperienced for the job.  He will belittle you in front of others and will set you up to fail.  There is no praise for good job done.  He will only comment and document on what he thinks are your failures and mistakes.
161808,Crowne-Plaza-Hotels-and-Resorts,06/05/2012, Assistant Manager ,"Gurgaon, Haryana, Haryana",1,A place driven by pure politics and regardless the efforts put to achieve the goals,"IHG Brand, Inforamtion Network, Learning Opportunity. The experience could have been better if IHG was paying attention to the employee needs and situations in a managed property like ours, which termed to be the first managed property in APAC.","Employee attrition rate, unstable client portfolios, lack of team spirit, Decision making Process, Work Life Balance, Support from management and owners."
161809,Crowne-Plaza-Hotels-and-Resorts,21/05/2012, ,"Lutherville Timonium, MD",2,Sever Lack of Professionalism among senior management.,coworkers are some of the most genuine people you'll ever meet,"lack of professionalism
lack of communication among management
lack of personal boundaries"
161810,Crowne-Plaza-Hotels-and-Resorts,30/05/2012, Front Desk Agent,"Baton Rouge, LA",2,The most intense experience of my life,"Most of the employees were really nice.
They believed in the employees` potential.","They don't have any sustainability sense.
They were trying to work as a team, but it could be way better."
161811,Crowne-Plaza-Hotels-and-Resorts,10/06/2012, Captain Banquet,New Delhi,4,it is a nice hotel to work,"nice team, culture, atmosphere. good management",there is nothing that anyone can not work here
161812,Crowne-Plaza-Hotels-and-Resorts,11/06/2012, Front Desk Agent,"Wauwatosa, WI",3,Crowne Plaza Milwaukee West Hotel,"Everyday is something different.  It's nice to see different faces, as well as many familiar faces.  Employees are encouraged to make and maintain friendships with fellow co-workers.  When first employed, you are trained by not only the manager or supervisor but also by fellow co-workers.  This, right away,gets you involved with everybody.  The atmosphere is, for the most part, great and positive!","*Required to stand for 8 hours
*Can be very stressful during busy periods
*Sometimes a lack of communication/respect between management and other employees"
161813,Crowne-Plaza-Hotels-and-Resorts,12/06/2012, House Runner,"London, England, England",3,Great place,Place full of great people,Too mch to be done by less people
